county,sub_county,admin_area,pop_total,pop_male,pop_female,mpo_total,mpo_total_perc,mpo_male,mpo_male_perc,mpo_female,mpo_female_perc,uo_i_total,uo_i_total_perc,uo_i_male,uo_i_male_perc,uo_i_female,uo_i_female_perc,uo_dlt_total,uo_dlt_total_perc,uo_dlt_male,uo_dlt_male_perc,uo_dlt_female,uo_dlt_female_perc
Homa Bay,SUBA NORTH,SubCounty,114461,55323,59137,49131,42.9,23822,43.1,25308,42.8,20600,18,12091,21.9,8508,14.4,9533,8.3,5765,10.4,3768,6.4
Homa Bay,SUBA SOUTH,SubCounty,111548,53783,57763,42483,38.1,20864,38.8,21617,37.4,14187,12.7,8614,16,5573,9.6,5488,4.9,3371,6.3,2117,3.7
Migori,MIGORI,County,1016399,486357,530012,381265,37.5,187805,38.6,193454,36.5,145208,14.3,85341,17.5,59865,11.3,62426,6.1,37031,7.6,25395,4.8
Migori,AWENDO,SubCounty,107090,51345,55743,44514,41.6,21823,42.5,22690,40.7,17002,15.9,10180,19.8,6822,12.2,7904,7.4,4774,9.3,3130,5.6
Migori,KURIA EAST,SubCounty,88045,42653,45385,26355,29.9,13306,31.2,13049,28.8,9524,10.8,5787,13.6,3737,8.2,3877,4.4,2373,5.6,1504,3.3
Migori,KURIA WEST,SubCounty,189956,92003,97947,61391,32.3,32022,34.8,29368,30,24267,12.8,14421,15.7,9846,10.1,9958,5.2,5917,6.4,4041,4.1
Migori,NYATIKE,SubCounty,159883,75746,84130,59957,37.5,28909,38.2,31047,36.9,19558,12.2,12035,15.9,7523,8.9,7365,4.6,4572,6,2793,3.3
Migori,RONGO,SubCounty,114373,54154,60218,48385,42.3,22916,42.3,25469,42.3,20094,17.6,11293,20.9,8801,14.6,9875,8.6,5655,10.4,4220,7
Migori,SUNA EAST,SubCounty,111811,53380,58428,47096,42.1,22924,42.9,24171,41.4,19636,17.6,11257,21.1,8378,14.3,9081,8.1,5191,9.7,3890,6.7
Migori,SUNA WEST,SubCounty,115745,54921,60823,45983,39.7,22498,41,23484,38.6,19051,16.5,10745,19.6,8305,13.7,8317,7.2,4829,8.8,3488,5.7
Migori,URIRI,SubCounty,129496,62155,67338,47584,36.7,23407,37.7,24176,35.9,16076,12.4,9623,15.5,6453,9.6,6049,4.7,3720,6,2329,3.5
Kisii,KISII,County,1179067,561241,617793,516635,43.8,240834,42.9,275786,44.6,188888,16,107428,19.1,81453,13.2,92025,7.8,53238,9.5,38782,6.3
Kisii,ETAGO,SubCounty,78104,37316,40785,29794,38.1,14188,38,15605,38.3,8625,11,5200,13.9,3424,8.4,3725,4.8,2261,6.1,1463,3.6
Kisii,GUCHA,SubCounty,77635,36552,41082,33000,42.5,15085,41.3,17915,43.6,12159,15.7,6815,18.6,5344,13,6367,8.2,3620,9.9,2747,6.7
Kisii,GUCHA SOUTH,SubCounty,77984,37202,40779,31460,40.3,14687,39.5,16772,41.1,10281,13.2,6051,16.3,4229,10.4,5085,6.5,2995,8.1,2090,5.1
Kisii,KENYENYA,SubCounty,122925,58489,64434,51866,42.2,23700,40.5,28166,43.7,15998,13,9279,15.9,6719,10.4,6857,5.6,3995,6.8,2862,4.4
Kisii,KISII CENTRAL,SubCounty,153169,73940,79226,77633,50.7,37051,50.1,40579,51.2,36585,23.9,20230,27.4,16354,20.6,19583,12.8,11113,15,8469,10.7
Kisii,KISII SOUTH,SubCounty,126037,59998,66034,51323,40.7,24594,41,26728,40.5,18760,14.9,10792,18,7968,12.1,8678,6.9,5024,8.4,3654,5.5
Kisii,KITUTU CENTRAL,SubCounty,143117,68958,74154,69863,48.8,33839,49.1,36020,48.6,35265,24.6,19207,27.9,16055,21.7,18562,13,10307,14.9,8253,11.1
Kisii,MARANI,SubCounty,100436,47090,53345,42225,42,18873,40.1,23352,43.8,11969,11.9,7021,14.9,4948,9.3,5634,5.6,3351,7.1,2282,4.3
Kisii,MASABA SOUTH,SubCounty,114613,54167,60442,50230,43.8,22627,41.8,27602,45.7,14865,13,8656,16,6208,10.3,6857,6,4105,7.6,2752,4.6
Kisii,NYAMACHE,SubCounty,122459,57910,64547,52642,43,23878,41.2,28762,44.6,16225,13.2,9353,16.2,6872,10.6,7046,5.8,4269,7.4,2777,4.3
Kisii,SAMETA,SubCounty,62588,29619,32965,26599,42.5,12312,41.6,14285,43.3,8156,13,4824,16.3,3332,10.1,3631,5.8,2198,7.4,1433,4.3
Nyamira,NYAMIRA,County,566741,271344,295385,257227,45.4,119533,44.1,137692,46.6,90354,15.9,51409,18.9,38945,13.2,42183,7.4,24562,9.1,17621,6
Nyamira,BORABU,SubCounty,68779,34446,34333,33826,49.2,16692,48.5,17134,49.9,13648,19.8,7801,22.6,5847,17,6632,9.6,3857,11.2,2775,8.1
Nyamira,MANGA,SubCounty,88406,41976,46428,40638,46,18738,44.6,21900,47.2,13535,15.3,7792,18.6,5743,12.4,5992,6.8,3480,8.3,2512,5.4
Nyamira,MASABA NORTH,SubCounty,104344,49088,55254,47862,45.9,21623,44,26239,47.5,16755,16.1,9583,19.5,7172,13,7588,7.3,4420,9,3168,5.7
Nyamira,NYAMIRA NORTH,SubCounty,156770,75072,81693,67996,43.4,31590,42.1,36405,44.6,21089,13.5,12178,16.2,8911,10.9,10319,6.6,6065,8.1,4254,5.2
Nyamira,NYAMIRA SOUTH,SubCounty,148442,70762,77677,66905,45.1,30890,43.7,36014,46.4,25327,17.1,14055,19.9,11272,14.5,11652,7.8,6740,9.5,4912,6.3
Nairobi,"NAIROBI CITY",County,4010447,1986852,2023404,2772719,69.1,1392497,70.1,1380088,68.2,2100763,52.4,1098800,55.3,1001864,49.5,1124363,28,612850,30.8,511455,25.3
