county,sub_county,admin_area,pop_total,pop_male,pop_female,mpo_total,mpo_total_perc,mpo_male,mpo_male_perc,mpo_female,mpo_female_perc,uo_i_total,uo_i_total_perc,uo_i_male,uo_i_male_perc,uo_i_female,uo_i_female_perc,uo_dlt_total,uo_dlt_total_perc,uo_dlt_male,uo_dlt_male_perc,uo_dlt_female,uo_dlt_female_perc
Nairobi,DAGORETTI,SubCounty,398369,199539,198804,270753,68,138103,69.2,132632,66.7,188630,47.4,101942,51.1,86674,43.6,93735,23.5,52886,26.5,40841,20.5
Nairobi,EMBAKASI,SubCounty,904247,449669,454540,634778,70.2,321225,71.4,313532,69,502164,55.5,263960,58.7,238186,52.4,272166,30.1,149225,33.2,122932,27
Nairobi,KAMUKUNJI,SubCounty,242507,122131,120369,157219,64.8,80627,66,76586,63.6,115467,47.6,61739,50.6,53724,44.6,41640,17.2,24208,19.8,17430,14.5
Nairobi,KASARANI,SubCounty,710889,344378,366478,491651,69.2,239367,69.5,252263,68.8,379562,53.4,193203,56.1,186343,50.8,205007,28.8,111229,32.3,93767,25.6
Nairobi,KIBRA,SubCounty,169509,85815,83687,111720,65.9,58062,67.7,53652,64.1,75392,44.5,41154,48,34233,40.9,42385,25,23261,27.1,19121,22.8
Nairobi,LANG'ATA,SubCounty,180488,87399,93081,134897,74.7,65416,74.8,69476,74.6,118899,65.9,58595,67,60302,64.8,86477,47.9,43504,49.8,42972,46.2
Nairobi,MAKADARA,SubCounty,176283,89283,86991,126251,71.6,64996,72.8,61248,70.4,92196,52.3,49033,54.9,43160,49.6,47544,27,26262,29.4,21280,24.5
Nairobi,MATHARE,SubCounty,188625,97147,91465,122056,64.7,65520,67.4,56524,61.8,70295,37.3,41412,42.6,28877,31.6,23989,12.7,14838,15.3,9147,10
Nairobi,NJIRU,SubCounty,573474,280310,293137,377259,65.8,185710,66.3,191531,65.3,269869,47.1,139682,49.8,130174,44.4,128093,22.3,70897,25.3,57190,19.5
Nairobi,STAREHE,SubCounty,182149,90480,91660,131259,72.1,65980,72.9,65270,71.2,107513,59,55484,61.3,52021,56.8,59704,32.8,32417,35.8,27282,29.8
Nairobi,WESTLANDS,SubCounty,283907,140701,143192,214876,75.7,107491,76.4,107374,75,180776,63.7,92596,65.8,88170,61.6,123623,43.5,64123,45.6,59493,41.5
